Estacion,Latitud,Longitud,clipped_Hansen_GFC-2022-v1.10_lossyear_10N_080W,clipped_Hansen_GFC-2022-v1.10_treecover2000_10N_080W,resampled_clipped_wc2.1_30s_bio_1,resampled_clipped_wc2.1_30s_bio_10,resampled_clipped_wc2.1_30s_bio_11,resampled_clipped_wc2.1_30s_bio_12,resampled_clipped_wc2.1_30s_bio_13,resampled_clipped_wc2.1_30s_bio_14,resampled_clipped_wc2.1_30s_bio_15,resampled_clipped_wc2.1_30s_bio_16,resampled_clipped_wc2.1_30s_bio_17,resampled_clipped_wc2.1_30s_bio_18,resampled_clipped_wc2.1_30s_bio_19,resampled_clipped_wc2.1_30s_bio_2,resampled_clipped_wc2.1_30s_bio_3,resampled_clipped_wc2.1_30s_bio_4,resampled_clipped_wc2.1_30s_bio_5,resampled_clipped_wc2.1_30s_bio_6,resampled_clipped_wc2.1_30s_bio_7,resampled_clipped_wc2.1_30s_bio_8,resampled_clipped_wc2.1_30s_bio_9,resampled_clipped_wc2.1_30s_elev
TA8_11,5.2374756836610405,-76.08607107146533,0,95,19.8875,20.25,19.6,2871.0,363.0,128.0,31.151634,892.0,474.0,868.0,892.0,8.425,91.57609,25.77216,24.5,15.3,9.2,19.6,20.05,1377
TA8_12,5.236852338886369,-76.08575346143881,0,95,19.8875,20.25,19.6,2871.0,363.0,128.0,31.151634,892.0,474.0,868.0,892.0,8.425,91.57609,25.77216,24.5,15.3,9.2,19.6,20.05,1377
TA8_13,5.236357649672291,-76.08525877222475,0,75,19.8875,20.25,19.6,2871.0,363.0,128.0,31.151634,892.0,474.0,868.0,892.0,8.425,91.57609,25.77216,24.5,15.3,9.2,19.6,20.05,1377
TA8_14,5.236040039645786,-76.08463542745007,0,95,19.8875,20.25,19.6,2871.0,363.0,128.0,31.151634,892.0,474.0,868.0,892.0,8.425,91.57609,25.77216,24.5,15.3,9.2,19.6,20.05,1377
TA8_15,5.235930598689167,-76.08394444444444,0,90,19.8875,20.25,19.6,2871.0,363.0,128.0,31.151634,892.0,474.0,868.0,892.0,8.425,91.57609,25.77216,24.5,15.3,9.2,19.6,20.05,1377
TA8_16,5.236040039645786,-76.08325346143882,0,64,19.8875,20.25,19.6,2871.0,363.0,128.0,31.151634,892.0,474.0,868.0,892.0,8.425,91.57609,25.77216,24.5,15.3,9.2,19.6,20.05,1377
TA8_17,5.236357649672291,-76.08263011666413,0,43,20.15,20.516666,19.866667,2322.0,310.0,116.0,31.826435,734.0,378.0,701.0,695.0,8.633333,91.84398,25.849207,24.9,15.5,9.4,20.366667,20.3,1343
TA8_18,5.236852338886369,-76.08213542745007,0,21,20.15,20.516666,19.866667,2322.0,310.0,116.0,31.826435,734.0,378.0,701.0,695.0,8.633333,91.84398,25.849207,24.9,15.5,9.4,20.366667,20.3,1343
TA8_19,5.2374756836610405,-76.08181781742356,0,71,20.15,20.516666,19.866667,2322.0,310.0,116.0,31.826435,734.0,378.0,701.0,695.0,8.633333,91.84398,25.849207,24.9,15.5,9.4,20.366667,20.3,1343
TA8_20,5.238166666666666,-76.08170837646695,0,60,20.15,20.516666,19.866667,2322.0,310.0,116.0,31.826435,734.0,378.0,701.0,695.0,8.633333,91.84398,25.849207,24.9,15.5,9.4,20.366667,20.3,1343
TA9_1,5.248329871894515,-76.09648448409023,0,95,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA9_2,5.248953216669187,-76.09680209411674,0,95,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA9_3,5.249447905883264,-76.0972967833308,0,95,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA9_4,5.249765515909769,-76.09792012810549,0,95,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA9_5,5.249874956866388,-76.09861111111111,0,90,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA9_6,5.249765515909769,-76.09930209411674,0,95,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA9_7,5.249447905883264,-76.09992543889142,0,90,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA9_8,5.248953216669187,-76.10042012810548,0,90,17.033333,17.283333,16.75,2963.0,399.0,124.0,31.417236,886.0,514.0,830.0,886.0,7.5,90.36143,22.29283,21.2,12.9,8.300001,16.75,17.083334,1907
TA9_9,5.248329871894515,-76.100737738132,0,90,17.033333,17.283333,16.75,2963.0,399.0,124.0,31.417236,886.0,514.0,830.0,886.0,7.5,90.36143,22.29283,21.2,12.9,8.300001,16.75,17.083334,1907
